source	time	heading	story	url
Technology Networks	1549877676	Genetics May Influence the Quality of Your Marriage	A research team led by Binghamton University Associate Professor of Psychology Richard Mattson evaluated whether different genotypes (i.e., possible genetic ...	https://news.google.com/articles/CBMia2h0dHBzOi8vd3d3LnRlY2hub2xvZ3luZXR3b3Jrcy5jb20vZ2Vub21pY3MvbmV3cy9nZW5ldGljcy1tYXktaW5mbHVlbmNlLXRoZS1xdWFsaXR5LW9mLXlvdXItbWFycmlhZ2UtMzE1MjM40gHCAWh0dHBzOi8vd3d3LXRlY2hub2xvZ3luZXR3b3Jrcy1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cudGVjaG5vbG9neW5ldHdvcmtzLmNvbS9nZW5vbWljcy9uZXdzL2FtcC9nZW5ldGljcy1tYXktaW5mbHVlbmNlLXRoZS1xdWFsaXR5LW9mLXlvdXItbWFycmlhZ2UtMzE1MjM4P2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
TES News	1549886886	'Education isn't about genetics: it's about hope'	Tes columnist Nancy Gedge responds to geneticist Robert Plomin, arguing that education is about more than DNA profiles.	https://news.google.com/articles/CBMiRWh0dHBzOi8vd3d3LnRlcy5jb20vbmV3cy9lZHVjYXRpb24taXNudC1hYm91dC1nZW5ldGljcy1pdHMtYWJvdXQtaG9wZdIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
The Irish Times	1547625600	Mind over matter: Unusual study deliberately fools people about their genetics	Scientists find psychological beliefs about genetic risks altered physiological responses.	https://news.google.com/articles/CAIiEJSa1BLKPL5uNk-edMKW8h8qGQgEKhAIACoHCAowqfqFCzD7v4MDMJDajQY?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1547712000	Nature Or Nurture? Genetics Matters More For Understanding Disease	Nature or nurture? Now experts make clear that genes count more than environment, an extensive new study shows and challenges fundamental understanding ...	https://news.google.com/articles/CAIiEBsPfrHtWBfmq98PPgKCt2MqFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
Technology Networks	1547539200	Are Our Genetics Responsible for Our Addictions?	Scientists have concluded that the risk of addiction is a complex combination of both genes and environmental influences. Despite advances in the science of ...	https://news.google.com/articles/CBMiY2h0dHBzOi8vd3d3LnRlY2hub2xvZ3luZXR3b3Jrcy5jb20vZ2Vub21pY3MvbmV3cy9jYW4td2UtYmxhbWUtb3VyLWFkZGljdGlvbnMtb24tb3VyLWdlbmV0aWNzLTMxMzk0N9IBugFodHRwczovL3d3dy10ZWNobm9sb2d5bmV0d29ya3MtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LnRlY2hub2xvZ3luZXR3b3Jrcy5jb20vZ2Vub21pY3MvbmV3cy9hbXAvY2FuLXdlLWJsYW1lLW91ci1hZGRpY3Rpb25zLW9uLW91ci1nZW5ldGljcy0zMTM5NDc_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Technology Networks	1548144000	Genetics Reveal New Treatment Options for Osteoarthritis	In the largest genetic study of osteoarthritis to date, scientists have uncovered 52 new genetic changes linked to the disease, which doubles the number of ...	https://news.google.com/articles/CBMicGh0dHBzOi8vd3d3LnRlY2hub2xvZ3luZXR3b3Jrcy5jb20vZ2Vub21pY3MvbmV3cy9nZW5ldGljcy1yZXZlYWwtbmV3LXRyZWF0bWVudC1vcHRpb25zLWZvci1vc3Rlb2FydGhyaXRpcy0zMTQzMTHSAccBaHR0cHM6Ly93d3ctdGVjaG5vbG9neW5ldHdvcmtzLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy50ZWNobm9sb2d5bmV0d29ya3MuY29tL2dlbm9taWNzL25ld3MvYW1wL2dlbmV0aWNzLXJldmVhbC1uZXctdHJlYXRtZW50LW9wdGlvbnMtZm9yLW9zdGVvYXJ0aHJpdGlzLTMxNDMxMT9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
SmartCompany.com.au	1549601592	Melbourne genetics startup raises $525000 from big-name backers including Culture Amp co-founder	Genetics and health startup Eugene has secured $525000 in funding, to roll out its home genetic-testing and remote-consulting tech.	https://news.google.com/articles/CBMiZmh0dHBzOi8vd3d3LnNtYXJ0Y29tcGFueS5jb20uYXUvc3RhcnR1cHNtYXJ0L25ld3MtYW5hbHlzaXMvZ2VuZXRpY3Mtc3RhcnR1cC1ldWdlbmUtNTI1MDAwLWN1bHR1cmUtYW1wL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Siliconrepublic.com	1549372603	Exciting new CRISPR-CasX variant could be 'Swiss army knife' for genetics	CRISPR-Cas9 has revolutionised gene editing, but a new variant of the technology may be far superior.	https://news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LnNpbGljb25yZXB1YmxpYy5jb20vaW5ub3ZhdGlvbi9jcmlzcHItY2FzeC12YXJpYW500gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Futurity: Research News	1549565181	There are 'Hidden Figures' in population genetics, too	Female programmers and numerical analysts whose contributions to population genetics went under-recognized could be new role models for women in STEM.	https://news.google.com/articles/CBMiSWh0dHBzOi8vd3d3LmZ1dHVyaXR5Lm9yZy93b21lbi1wcm9ncmFtbWVycy1wb3B1bGF0aW9uLWdlbmV0aWNzLTE5NzY4NjItMi_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
The Scientist	1548921600	The Human Genetics of Night Owls and Early Birds	Whether you're an early bird or a night owl is partly dependent on your genome, according to a study published this week (January 29) in Nature ...	https://news.google.com/articles/CBMiYWh0dHBzOi8vd3d3LnRoZS1zY2llbnRpc3QuY29tL25ld3Mtb3Bpbmlvbi90aGUtaHVtYW4tZ2VuZXRpY3Mtb2YtbmlnaHQtb3dscy1hbmQtZWFybHktYmlyZHMtNjU0MTTSAbQBaHR0cHM6Ly93d3ctdGhlLS1zY2llbnRpc3QtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LnRoZS1zY2llbnRpc3QuY29tL25ld3Mtb3Bpbmlvbi90aGUtaHVtYW4tZ2VuZXRpY3Mtb2YtbmlnaHQtb3dscy1hbmQtZWFybHktYmlyZHMtNjU0MTQvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
