source	time	heading	story	url
The Financial Express	1549827994	Mate Labs: Startup creates machine learning platform for taking AI & ML to masses	The startup has created an ML platform, Mate Verse, to help automate the process of building and training ML models.	https://news.google.com/articles/CAIiEDtKs4GunZp2fB7IWtdUm80qGQgEKhAIACoHCAow55veCjDzvdUBMIPh5gU?hl=en-IN&gl=IN&ceid=IN%3Aen
VCCircle	1549877482	Microsoft is tapping machine learning to curb 'email overload'	Technology giant Microsoft is exploring ways of tapping machine learning to help employees of companies globally sift through the large amount of emails they ...	https://news.google.com/articles/CBMiaGh0dHBzOi8vdGVjaGNpcmNsZS52Y2NpcmNsZS5jb20vMjAxOS8wMi8xMS9taWNyb3NvZnQtaXMtdGFwcGluZy1tYWNoaW5lLWxlYXJuaW5nLXRvLWN1cmItZW1haWwtb3ZlcmxvYWQv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1549886940	The Deep Learning Framework Backed By Facebook Is Getting Industry's Attention	When it comes to deep learning frameworks, TensorFlow is one of the most preferred toolkits. However, one framework that is fast becoming the favorite of ...	https://news.google.com/articles/CAIiELiPkgnjwKcIAHR0QJ5ukYcqFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1549627200	The Role Of Artificial Intelligence And Machine Learning In Driving Customer Experience	While there's a lot of excitement about artificial intelligence (AI) and machine learning (ML), there seems to be significantly less understanding of their ...	https://news.google.com/articles/CAIiEBDE5MPJhJCmK3zdQCaulPMqFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
Interesting Engineering	1549784698	Machine Learning Helps Out Citizen Scientists	Machine learning techniques could assist in research projects that have previously relied on citizen scientists a new study has shown.	https://news.google.com/articles/CBMiUGh0dHBzOi8vaW50ZXJlc3RpbmdlbmdpbmVlcmluZy5jb20vbWFjaGluZS1sZWFybmluZy1oZWxwcy1vdXQtY2l0aXplbi1zY2llbnRpc3Rz0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
VentureBeat	1549743000	UI + AI: Combine user experience design with machine learning to build smarter products	Machine intelligence doesn't automatically lead to smarter user experience if product designers and machine learning experts don't talk the same language.	https://news.google.com/articles/CAIiEIsikqbhvymejDnFUsApLkIqFQgEKgwIACoFCAowsGkw8AYw7eb1BQ?hl=en-IN&gl=IN&ceid=IN%3Aen
SiliconANGLE News	1549836388	Trust but verify: Machine learning's magic masks hidden frailties	The idea sounded good in theory: Rather than giving away full-boat scholarships, colleges could optimize their use of scholarship money to attract students ...	https://news.google.com/articles/CBMiYGh0dHBzOi8vc2lsaWNvbmFuZ2xlLmNvbS8yMDE5LzAyLzEwL3RydXN0LXZlcmlmeS1tYWNoaW5lLWxlYXJuaW5ncy1tYWdpYy1tYXNrcy1oaWRkZW4tZnJhaWx0aWVzL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Popular Science	1549661736	Get ahead of the curve with these certified machine learning courses	From self-driving cars to Netflix recommendations, artificial intelligence relies on seeing lots of data. This process is called machine learning, and it's an exciting ...	https://news.google.com/articles/CBMiSWh0dHBzOi8vd3d3LnBvcHNjaS5jb20vdGhlLW1hY2hpbmUtbGVhcm5pbmctY2VydGlmaWNhdGlvbi10cmFpbmluZy1idW5kbGXSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
ITProPortal	1549620000	2019: the year AI and machine learning transform businesses with new data interaction	Adoption will evolve from “let's check this out” to “let's roll this out”.	https://news.google.com/articles/CBMiemh0dHBzOi8vd3d3Lml0cHJvcG9ydGFsLmNvbS9mZWF0dXJlcy8yMDE5LXRoZS15ZWFyLWFpLWFuZC1tYWNoaW5lLWxlYXJuaW5nLXRyYW5zZm9ybS1idXNpbmVzc2VzLXdpdGgtbmV3LWRhdGEtaW50ZXJhY3Rpb24v0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Analytics India Magazine	1549367400	10 Machine Learning Projects Every Tech Aficionado Must Work On In 2019	Machine learning and artificial intelligence have had a high impact on the evolving future of technology as well as human lives.	https://news.google.com/articles/CBMiamh0dHBzOi8vd3d3LmFuYWx5dGljc2luZGlhbWFnLmNvbS8xMC1tYWNoaW5lLWxlYXJuaW5nLXByb2plY3RzLWV2ZXJ5LXRlY2gtYWZpY2lvbmFkby1tdXN0LXdvcmstb24taW4tMjAxOS_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
The Enterprisers Project	1549523005	10 TED Talks on AI and machine learning	How will AI reshape your career? Your health? Your ability to tell real from fake video? Recent TED talks explore some fascinating AI questions.	https://news.google.com/articles/CBMiU2h0dHBzOi8vZW50ZXJwcmlzZXJzcHJvamVjdC5jb20vYXJ0aWNsZS8yMDE5LzIvYWktYW5kLW1hY2hpbmUtbGVhcm5pbmctMTAtdGVkLXRhbGtz0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Analytics India Magazine	1547625600	15 Machine Learning Tools For ML Enthusiasts To Hone Their Skills	Machine learning has grown to be one of the hottest job markets in India with tech giants and startups poring billions to this emerging field. Given the slew of ...	https://news.google.com/articles/CAIiENRFZwydvH67K8xUY8yGW2gqGQgEKhAIACoHCAowiv6GCzDhmIUDMKKElgY?hl=en-IN&gl=IN&ceid=IN%3Aen
Analytics India Magazine	1549267860	Meet Comet.ML, A Tool For Supercharging Machine Learning Experiments	Whenever a programmer gets stuck while coding, the first thing that comes in his mind is to go to the GitHub repository to recover from the stuck issue.	https://news.google.com/articles/CAIiEOyFeOpIeDGNcmGar6aD0qgqGQgEKhAIACoHCAowiv6GCzDhmIUDMKKElgY?hl=en-IN&gl=IN&ceid=IN%3Aen
TechRepublic	1549576980	What Google Cloud revenue could tell us about machine learning adoption	Alphabet keeps Google's cloud revenue a secret, which is too bad because it could tell us a lot about the state of enterprise adoption of machine learning.	https://news.google.com/articles/CBMibWh0dHBzOi8vd3d3LnRlY2hyZXB1YmxpYy5jb20vYXJ0aWNsZS93aGF0LWdvb2dsZS1jbG91ZC1yZXZlbnVlLWNvdWxkLXRlbGwtdXMtYWJvdXQtbWFjaGluZS1sZWFybmluZy1hZG9wdGlvbi_SAcUBaHR0cHM6Ly93d3ctdGVjaHJlcHVibGljLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy50ZWNocmVwdWJsaWMuY29tL2dvb2dsZS1hbXAvYXJ0aWNsZS93aGF0LWdvb2dsZS1jbG91ZC1yZXZlbnVlLWNvdWxkLXRlbGwtdXMtYWJvdXQtbWFjaGluZS1sZWFybmluZy1hZG9wdGlvbi8_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
