source	time	heading	story	url
Fox News	1549868000	Kacey Musgraves on if Grammy wins will help get her music on the radio	"Kacey Musgraves took home four Grammys — including Album of the Year for ""Golden Hour"" — Sunday evening. However despite winning top honors on ..."	https://news.google.com/articles/CBMicWh0dHBzOi8vd3d3LmZveG5ld3MuY29tL2VudGVydGFpbm1lbnQva2FjZXktbXVzZ3JhdmVzLW9uLWlmLTIwMTktZ3JhbW15LXdpbnMtd2lsbC1oZWxwLWdldC1oZXItbXVzaWMtb24tdGhlLXJhZGlv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Boston Herald	1549890900	Grammys mix music with message	The Grammys can have anyone open the show. They picked Camila Cabello. Don't know her? You will. Part big-budget Broadway number, part political ...	https://news.google.com/articles/CBMiR2h0dHBzOi8vd3d3LmJvc3RvbmhlcmFsZC5jb20vMjAxOS8wMi8xMS9ncmFtbXlzLW1peC1tdXNpYy13aXRoLW1lc3NhZ2Uv0gGYAWh0dHBzOi8vd3d3LWJvc3RvbmhlcmFsZC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cuYm9zdG9uaGVyYWxkLmNvbS8yMDE5LzAyLzExL2dyYW1teXMtbWl4LW11c2ljLXdpdGgtbWVzc2FnZS9hbXAvP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
The Guardian	1549823340	Every child deserves the magic of music	Music is part of the fabric of our society; it sits at the heart of human experience and enriches so many lives. Why, then, is it not central to our education system?	https://news.google.com/articles/CAIiEAhPfPqDVcIO3JoNEoBMJGMqFggEKg4IACoGCAowl6p7MN-zCTCOvRU?hl=en-IN&gl=IN&ceid=IN%3Aen
Rolling Stone	1549863840	Dua Lipa on Her Grammy Win, 21 Savage’s Arrest and New Music	“So many women!” Dua Lipa said on Sunday night, scanning the crowd from the stage while accepting her Grammy for Best New Artist. “I guess we really ...	https://news.google.com/articles/CAIiEH9cNTGZ-CQCbYZ0a8HeY4QqGQgEKhAIACoHCAow9MSGCzCKpYQDML-UuQM?hl=en-IN&gl=IN&ceid=IN%3Aen
NPR	1549879260	DJ Marshmello's 'Fornite' Concert Has The Music World Buzzing	"What does DJ Marshmello's ""Fortnite"" concert mean for the future of music performance? The 10-minute virtual concert was one of the largest digital gatherings ..."	https://news.google.com/articles/CBMiY2h0dHBzOi8vd3d3Lm5wci5vcmcvMjAxOS8wMi8xMS82OTM0MTc3OTAvZGotbWFyc2htZWxsb3MtZm9ybml0ZS1jb25jZXJ0LWhhcy10aGUtbXVzaWMtd29ybGQtYnV6emluZ9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
News18	1549874759	Indonesian Entertainers Protest Law on 'Pornography', Blasphemy in Music	"Jakarta: Indonesian entertainers have rallied against a draft law that seeks to ban blasphemous and ""pornographic"" music *content*, which critics say could be ..."	https://news.google.com/articles/CBMidGh0dHBzOi8vd3d3Lm5ld3MxOC5jb20vbmV3cy93b3JsZC9pbmRvbmVzaWFuLWVudGVydGFpbmVycy1wcm90ZXN0LWxhdy1vbi1wb3Jub2dyYXBoeS1ibGFzcGhlbXktaW4tbXVzaWMtMjAzMjQwNy5odG1s0gG_AWh0dHBzOi8vd3d3LW5ld3MxOC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cubmV3czE4LmNvbS9hbXAvbmV3cy93b3JsZC9pbmRvbmVzaWFuLWVudGVydGFpbmVycy1wcm90ZXN0LWxhdy1vbi1wb3Jub2dyYXBoeS1ibGFzcGhlbXktaW4tbXVzaWMtMjAzMjQwNy5odG1sP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
Nehanda Radio	1549847520	Norwegian married to Sungura music – Nehanda Radio	By Silence Charumbira. African music has always taken the world by storm due to the uniqueness of its sound, compositions and other important aesthetics.	https://news.google.com/articles/CBMiR2h0dHBzOi8vbmVoYW5kYXJhZGlvLmNvbS8yMDE5LzAyLzExL25vcndlZ2lhbi1tYXJyaWVkLXRvLXN1bmd1cmEtbXVzaWMv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Classic FM	1549885800	‘Music shows us that every story within every voice matters’: Michelle Obama makes heartfelt speech at the...	The ceremony was hosted by Alicia Keys who took the star-studded crowd by surprise by inviting some of her “friends” out on stage – friends who just happened ...	https://news.google.com/articles/CBMiSWh0dHBzOi8vd3d3LmNsYXNzaWNmbS5jb20vbXVzaWMtbmV3cy9taWNoZWxsZS1vYmFtYS1ncmFtbXlzLTIwMTktd2lubmVycy_SAZMBaHR0cHM6Ly9hbXAtY2xhc3NpY2ZtLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL2FtcC5jbGFzc2ljZm0uY29tL211c2ljLW5ld3MvbWljaGVsbGUtb2JhbWEtZ3JhbW15cy0yMDE5LXdpbm5lcnMvP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
Android Central	1549891802	Google Play Movies and Music are releasing content late and it's driving me to piracy	In this age of music, TV and films being available a second after midnight on any device in your home, having a media store that's late isn't just a disservice to ...	https://news.google.com/articles/CAIiEJ0Jxfr-ZPvFJtJD0Hp6a1kqFAgEKg0IACoGCAowpYEBMMEXMLk_?hl=en-IN&gl=IN&ceid=IN%3Aen
The South African	1549885725	Salzburg is filled with music and history	Mozart and Julie Andrews are responsible for most visitors to Salzburg, Austria's music city. The relatively small city has a glorious setting, an iconic image of all ...	https://news.google.com/articles/CBMiSmh0dHBzOi8vd3d3LnRoZXNvdXRoYWZyaWNhbi5jb20vc2FsemJ1cmctaXMtZmlsbGVkLXdpdGgtbXVzaWMtYW5kLWhpc3Rvcnkv0gGeAWh0dHBzOi8vd3d3LXRoZXNvdXRoYWZyaWNhbi1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cudGhlc291dGhhZnJpY2FuLmNvbS9zYWx6YnVyZy1pcy1maWxsZWQtd2l0aC1tdXNpYy1hbmQtaGlzdG9yeS9hbXAvP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
