source	time	heading	story	url
RTE.ie	1549882843	Insect decline could cause 'collapse' of nature - study	Human activity is causing dramatic declines in insects which could see 40% of species become extinct in a few decades, a scientific study has warned.	https://news.google.com/articles/CBMiRGh0dHBzOi8vd3d3LnJ0ZS5pZS9uZXdzL3dvcmxkLzIwMTkvMDIxMS8xMDI4ODM0LWluc2VjdHMtZW52aXJvbm1lbnQv0gFiaHR0cHM6Ly93d3ctcnRlLWllLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LnJ0ZS5pZS9hbXAvMTAyODgzNC8_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
BarrieToday	1549888200	Nature and art are all around us!	"""Art is where you find it. Art is all around us, always."" These sentiments were conveyed to a class of sleepy eyed Grade 10 students several decades ago by Jose ..."	https://news.google.com/articles/CBMiT2h0dHBzOi8vd3d3LmJhcnJpZXRvZGF5LmNvbS9sb2NhbC1uZXdzL25hdHVyZS1hbmQtYXJ0LWFyZS1hbGwtYXJvdW5kLXVzLTEyMzcwNzHSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
British Journal of Photography	1549882729	Thomas Struth's Nature & Politics	"With Nature & Politics, Thomas Struth hopes to ""open doors to what our minds have materialised and transformed into sculpture, and to scrutinise what our ..."	https://news.google.com/articles/CBMiOmh0dHBzOi8vd3d3LmJqcC1vbmxpbmUuY29tLzIwMTkvMDIvc3RydXRoLW5hdHVyZS1wb2xpdGljcy_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
The Recorder	1549883390	Speaking of Nature: Tracking an unseen predator	So there I was, stuck between what I wanted to do and what I knew I had to do. I wanted to call in sick and wait for the sun to come up so I could figure out what ...	https://news.google.com/articles/CBMiUGh0dHBzOi8vd3d3LnJlY29yZGVyLmNvbS9TcGVha2luZy1vZi1OYXR1cmUtVHJhY2tpbmctYW4tdW5zZWVuLXByZWRhdG9yLTIzMzM5MzA50gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Noted	1549833350	Sir David Attenborough is back with new nature series Dynasties. Bring tissues	Dynasties, a captivating five-part nature documentary with David Attenborough, is one of the best family dramas on TV.	https://news.google.com/articles/CBMiXWh0dHBzOi8vd3d3Lm5vdGVkLmNvLm56L2N1bHR1cmUvdGVsZXZpc2lvbi9kYXZpZC1hdHRlbmJvcm91Z2gtZHluYXN0aWVzLW5hdHVyZS1zZXJpZXMtcmV2aWV3L9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
ITV News	1549843260	Funding scheme launched for projects protecting nature in Scotland	A fund has been launched allowing projects aimed at protecting nature in Scotland to apply for financial support. The Biodiversity Challenge Fund opened on ...	https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3Lml0di5jb20vbmV3cy8yMDE5LTAyLTExL2Z1bmRpbmctc2NoZW1lLWxhdW5jaGVkLWZvci1wcm9qZWN0cy1wcm90ZWN0aW5nLW5hdHVyZS1pbi1zY290bGFuZC_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
Sky News	1549762340	Chelsea Flower Show: Duchess of Cambridge reveals plans for 'back to nature' garden	The installation looks to showcase the benefits of the natural world and what it can bring to physical and mental well-being.	https://news.google.com/articles/CBMidGh0dHBzOi8vbmV3cy5za3kuY29tL3N0b3J5L2NoZWxzZWEtZmxvd2VyLXNob3ctZHVjaGVzcy1vZi1jYW1icmlkZ2UtcmV2ZWFscy1wbGFucy1mb3ItYmFjay10by1uYXR1cmUtZ2FyZGVuLTExNjMzMjU40gG9AWh0dHBzOi8vbmV3cy1za3ktY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbmV3cy5za3kuY29tL3N0b3J5L2FtcC9jaGVsc2VhLWZsb3dlci1zaG93LWR1Y2hlc3Mtb2YtY2FtYnJpZGdlLXJldmVhbHMtcGxhbnMtZm9yLWJhY2stdG8tbmF0dXJlLWdhcmRlbi0xMTYzMzI1OD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
theberkshireedge.com	1549861708	NATURE'S TURN: Gardens that welcome the wild |	Mount Washington — On the first Saturday in February, nearly 400 garden enthusiasts gathered in Stockbridge for Berkshire Botanical Garden's annual ...	https://news.google.com/articles/CBMiSGh0dHBzOi8vdGhlYmVya3NoaXJlZWRnZS5jb20vbmF0dXJlcy10dXJuLWdhcmRlbnMtdGhhdC13ZWxjb21lLXRoZS13aWxkL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
GTP Headlines	1549876061	'Ios Adventure' Event to Combine Sports Tourism with Nature	"Ios this summer will host the ""Ios Adventure"", a sports tourism event that combines running and swimming races with the Cycladic island's unique nature."	https://news.google.com/articles/CBMiS2h0dHBzOi8vbmV3cy5ndHAuZ3IvMjAxOS8wMi8xMS9pb3MtYWR2ZW50dXJlLWNvbWJpbmUtc3BvcnRzLXRvdXJpc20tbmF0dXJlL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Geelong Advertiser	1549890000	Geelong Nature Forum to be hosted by Geelong Field Naturalists’ Club	CITIZEN scientists will share their knowledge of the region's diverse plant and animal life in at the inaugural Geelong Nature Forum next month. The forum, led ...	https://news.google.com/articles/CBMioQFodHRwczovL3d3dy5nZWVsb25nYWR2ZXJ0aXNlci5jb20uYXUvbmV3cy9nZWVsb25nL2dlZWxvbmctbmF0dXJlLWZvcnVtLXRvLWJlLWhvc3RlZC1ieS1nZWVsb25nLWZpZWxkLW5hdHVyYWxpc3RzLWNsdWIvbmV3cy1zdG9yeS9kZWM1YmMzMjVlYTM1MGY3NGYxYzU2MGMxZWM5YjJkMdIB9gFodHRwczovL2FtcC1nZWVsb25nYWR2ZXJ0aXNlci1jb20tYXUuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9hbXAuZ2VlbG9uZ2FkdmVydGlzZXIuY29tLmF1L25ld3MvZ2VlbG9uZy9nZWVsb25nLW5hdHVyZS1mb3J1bS10by1iZS1ob3N0ZWQtYnktZ2VlbG9uZy1maWVsZC1uYXR1cmFsaXN0cy1jbHViL25ld3Mtc3RvcnkvZGVjNWJjMzI1ZWEzNTBmNzRmMWM1NjBjMWVjOWIyZDE_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
