source	time	heading	story	url
Arizona Daily Star	1549825200	Pascua Yaqui working to keep foster children connected to tribal culture	As challenges mount to Indian Child Welfare Law, data show more Pascua Yaqui foster children living with relatives, tribal members.	https://news.google.com/articles/CBMikAFodHRwczovL3R1Y3Nvbi5jb20vbmV3cy9sb2NhbC9wYXNjdWEteWFxdWktd29ya2luZy10by1rZWVwLWZvc3Rlci1jaGlsZHJlbi1jb25uZWN0ZWQtdG8tdHJpYmFsL2FydGljbGVfZDFjNjJhYjEtMTdjMi01NDQ5LWE0ZGMtM2RmOGZiOWY0ZDVkLmh0bWzSAdcBaHR0cHM6Ly90dWNzb24tY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvdHVjc29uLmNvbS9uZXdzL2xvY2FsL3Bhc2N1YS15YXF1aS13b3JraW5nLXRvLWtlZXAtZm9zdGVyLWNoaWxkcmVuLWNvbm5lY3RlZC10by10cmliYWwvYXJ0aWNsZV9kMWM2MmFiMS0xN2MyLTU0NDktYTRkYy0zZGY4ZmI5ZjRkNWQuYW1wLmh0bWw_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
The National	1549903468	Fierce fighting in south Yemen after Houthi rebels blow up tribal leader's home	Clashes in Dalea province have been going on since Saturday.	https://news.google.com/articles/CBMifmh0dHBzOi8vd3d3LnRoZW5hdGlvbmFsLmFlL3dvcmxkL21lbmEvZmllcmNlLWZpZ2h0aW5nLWluLXNvdXRoLXllbWVuLWFmdGVyLWhvdXRoaS1yZWJlbHMtYmxvdy11cC10cmliYWwtbGVhZGVyLXMtaG9tZS0xLjgyNDY0OdIByQFodHRwczovL2FtcC10aGVuYXRpb25hbC1hZS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL2FtcC50aGVuYXRpb25hbC5hZS93b3JsZC9tZW5hL2ZpZXJjZS1maWdodGluZy1pbi1zb3V0aC15ZW1lbi1hZnRlci1ob3V0aGktcmViZWxzLWJsb3ctdXAtdHJpYmFsLWxlYWRlci1zLWhvbWUtMS44MjQ2NDk_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Times of India	1549499520	Jharkhand passes bill for setting up tribal commission	Ranchi: Jharkhand assembly on Wednesday passed a bill for the constitution of state commission for Scheduled Tribes through voice vote.	https://news.google.com/articles/CAIiEHTGacSkH8T-H_ndBTk_DEsqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
KULR-TV	1549840080	First Interstate Bank ordered to release tribal funds, motion to quash temporary order filed	Members of the Crow Legislative Committee filed motions to quash a federaltemporary restraining order releasing $2.4 million in tribal funds to A.J. Not Afraid.	https://news.google.com/articles/CBMijAFodHRwczovL3d3dy5rdWxyOC5jb20vbmV3cy9maXJzdC1pbnRlcnN0YXRlLWJhbmstb3JkZXJlZC10by1yZWxlYXNlLXRyaWJhbC1mdW5kcy1tb3Rpb24tdG8vYXJ0aWNsZV9kNTk1NTlkNi0yZDg4LTExZTktOWU3Zi0xYmNjMDQyNWJlMTguaHRtbNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
International Business Times, India	1549873342	Manju Warrier fails to keep a promise; faces protest by Wayanad's tribal group	A group of tribals from Wayanad in Kerala have said that they will protest outside the house of Manju Warrier, the lady Superstar of Mollywood, in Thrissur for ...	https://news.google.com/articles/CAIiEPUMmXOMstSVMh7d8LVelTEqGQgEKhAIACoHCAowvoj4CjDKq9kCMPztrgU?hl=en-IN&gl=IN&ceid=IN%3Aen
Free Press Journal	1549867020	Bhopal: Unable to afford burial, tribal man dumps newborn girl child's body	BHOPAL: Failing to bear the cost of last rites, a 35-year-old man dumped his newborn daughter's body near central library, on Tuesday. The girl had died as ...	https://news.google.com/articles/CBMid2h0dHBzOi8vd3d3LmZyZWVwcmVzc2pvdXJuYWwuaW4vYmhvcGFsL2Job3BhbC11bmFibGUtdG8tYWZmb3JkLWJ1cmlhbC10cmliYWwtbWFuLWR1bXBzLW5ld2Jvcm4tZ2lybC1jaGlsZHMtYm9keS8xNDU3MDMx0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Telegraph India	1549573440	Government admits roster axe on tribal quota in teaching jobs	Review petition to be filed in Supreme Court against judgment that calls for department as unit for working out quotas.	https://news.google.com/articles/CBMibmh0dHBzOi8vd3d3LnRlbGVncmFwaGluZGlhLmNvbS9pbmRpYS9nb3Zlcm5tZW50LWFkbWl0cy1yb3N0ZXItYXhlLW9uLXRyaWJhbC1xdW90YS1pbi10ZWFjaGluZy1qb2JzL2NpZC8xNjgzOTky0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Ars Technica	1549297920	Ajit Pai loses in court—judges overturn gutting of tribal broadband program	Court: FCC failed to provide evidence and ignored harm to broadband access.	https://news.google.com/articles/CBMieGh0dHBzOi8vYXJzdGVjaG5pY2EuY29tL3RlY2gtcG9saWN5LzIwMTkvMDIvYWppdC1wYWktbG9zZXMtaW4tY291cnQtanVkZ2VzLW92ZXJ0dXJuLWd1dHRpbmctb2YtdHJpYmFsLWJyb2FkYmFuZC1wcm9ncmFtL9IBxgFodHRwczovL2Fyc3RlY2huaWNhLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL2Fyc3RlY2huaWNhLmNvbS90ZWNoLXBvbGljeS8yMDE5LzAyL2FqaXQtcGFpLWxvc2VzLWluLWNvdXJ0LWp1ZGdlcy1vdmVydHVybi1ndXR0aW5nLW9mLXRyaWJhbC1icm9hZGJhbmQtcHJvZ3JhbS8_YW1wPTEmYW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Chattanooga Times Free Press	1549845900	US delays oil-and-gas lease sale near sacred tribal land	U.S. land managers no longer plan to move forward next month with selling oil and gas leases near a national park, saying Friday they need to gather more ...	https://news.google.com/articles/CBMigwFodHRwczovL3d3dy50aW1lc2ZyZWVwcmVzcy5jb20vbmV3cy9icmVha2luZ25ld3Mvc3RvcnkvMjAxOS9mZWIvMTEvdXMtZGVsYXlzLW9pbC1hbmQtZ2FzLWxlYXNlLXNhbGUtbmVhci1zYWNyZWQtdHJpYmFsLWxhbmQvNDg4MzkxL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
CapeNews.net	1549849500	Tribal Election Results In	The results of the Mashpee Wampanoag Tribal Council election came in Sunday night, and the three incumbents—Carlton Hendricks Jr., Winnie ...	https://news.google.com/articles/CBMicmh0dHBzOi8vd3d3LmNhcGVuZXdzLm5ldC9tYXNocGVlL25ld3MvdHJpYmFsLWVsZWN0aW9uLXJlc3VsdHMtaW4vYXJ0aWNsZV9kMWQ1MTE1Yi0xYzJjLTUzYmYtYTk4Yy0zNWYyYTM5NGIwYTIuaHRtbNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
